Inoculation,Organization,Clade,Strain,Replicate,Label,Root_DM,Shoot_DM,Total_DM,R_S_Ratio,MR_Root_DM,MR_Shoot_DM,MR_Total_DM,MR_R_S_Ratio,Bulk_Mycorrhizal_C1,Bulk_Mycorrhizal_C2,BulkMAOM_Mycorrhizal_C1,BulkMAOM_Mycorrhizal_C2,Inc_Mycorrhizal_C1,Inc_Mycorrhizal_C2,IncMAOM_Mycorrhizal_C1,IncMAOM_Mycorrhizal_C2,Bulk_SOC,Bulk_MAOC,Inc_SOC,Inc_MAOC,Incubation_effect_C1,Incubation_effect_C1_MAOM,N_Conc,S_Conc ,P_Conc,K_Conc,Mg_Conc,B_Conc, Zn_Conc ,Mn_Conc ,Fe_Conc ,Cu_Conc ,Al_Conc ,% Hyphae,% Vesicles,% Arbuscules
Control,Control,Control,Control,5,FC_5,6.458174905,5.7,12.1581749,1.133013141,-1.25538067,0.185714286,-1.06966639,-0.262431806,0.299814796,41.07052,0.075422817,12.53500713,0.268486573,41.951027,0.160014531,31.095612,7.300251442,6.016974379,6.442151409,19.30283092,-0.031328223,0.524722495,13.6,0.8,0.6,25.2,1.1,10.68,30,219,111,4.13,54,0,0,0
Control,Control,Control,Control,6,FC_6,8.284738956,4.9,13.18473896,1.690763052,0.571183381,-0.614285714,-0.04310233,0.295318105,0.177627912,106.339606,0.132711106,21.06525488,0.438793458,86.037933,0.152388945,21.470879,7.312887835,6.3,5.051003604,24.43770185,-0.337485666,0.391178342,13.1,0.8,0.5,28.4,1.2,9.24,45,287,112,4.41,67,0,0,0
Control,Control,Control,Control,7,FC_7,6.723257485,5.45,12.17325749,1.233625227,-0.99029809,-0.064285714,-1.0545838,-0.16181972,0.06836216,18.989489,0.029320827,3.665103427,0.027462833,7.041752,0.094965763,5.426615,3.622067862,8,3.873731369,17.49130543,-0.040899327,0.065644936,11,0.8,0.7,32,1,4.15,35,202,111,13.23,462,0,0,0
AMF,Heterokaryon,IV,G1,1,G1_1,5.785921626,5.3,11.08592163,1.091683326,-1.927633949,-0.214285714,-2.14191966,-0.303761621,0.078367884,19.591971,0.137804752,7.103063855,0.042539359,7.877659,0.218083887,12.606005,4.038385856,19.40074795,5.419627081,17.28057332,-0.035828525,0.080279135,12.1,1.1,1.3,22.9,2.8,25.1,28,976,84,6.76,44,66,5,4
AMF,Heterokaryon,IV,G1,2,G1_2,15.44988645,5.7,21.14988645,2.710506395,7.736330875,0.185714286,7.92204516,1.315061448,0.165026648,41.256662,0.085013925,5.60397717,0.058894241,13.696335,0.414178754,24.801123,3.992961848,15.17028391,4.265148899,16.68702054,-0.106132407,0.329164829,8.2,0.7,1.1,27.7,1.6,11.88,27,486,65,4.31,52,77.77777778,12.34567901,33.33333333
AMF,Heterokaryon,IV,G1,3,G1_3,8.755225653,5.7,14.45522565,1.536004501,1.041670078,0.185714286,1.22738436,0.140559554,0.186370164,32.69652,0.359648508,17.20806261,0.184464976,46.116244,0.206081421,11.323155,5.745007419,20.9,3.957964365,18.18781661,-0.001905188,-0.153567087,7.6,0.8,1.2,28.6,1.2,5.69,29,421,63,5.1,54,51,1,20
AMF,Heterokaryon,IV,G1,4,G1_4,11.03915877,6,17.03915877,1.839859795,3.325603195,0.485714286,3.81131748,0.444414848,0.073084526,19.23277,0.022651141,12.86450096,0.048481512,16.160504,0.182092357,7.882786,3.828174442,1.760747726,2.955615689,23.11436513,-0.024603014,0.159441216,6.9,0.6,1,23.3,1.5,9.86,34,470,76,4.77,70,50,5,19
AMF,Heterokaryon,IV,G1,5,G1_5,10.6083276,5.4,16.0083276,1.964505111,2.894772025,-0.114285714,2.78048631,0.569060164,0.081252945,10.833726,0.066542114,11.67405516,0.125345577,41.781859,0.179375008,6.925676,7.50513816,5.7,2.972088194,25.85482121,0.044092632,0.112832894,6.1,0.6,0.9,28.6,1.1,9.53,27,312,75,4.36,61,70.37037037,24.69135802,14.81481481
AMF,Heterokaryon,IV,G1,6,G1_6,10.37341679,7.7,18.07341679,1.347196986,2.659861215,2.185714286,4.8455755,-0.048247961,0.090835368,14.891044,0.230404573,8.533502704,0.060478295,15.507255,0.077396738,4.138863,6.145034994,27,3.925990437,18.73766715,-0.030357073,-0.153007835,7.6,0.7,0.9,23.4,1.4,8.78,24,374,98,4.84,48,76,12,36
AMF,Heterokaryon,IV,G1,7,G1_7,6.962218774,5.4,12.36221877,1.289299773,-0.751336801,-0.114285714,-0.86562252,-0.106145174,0.13071758,19.805694,0.290245412,15.00541121,0.022600398,4.91313,0.206867205,9.194098,6.596227102,19.3427163,4.576799512,22.46240931,-0.108117182,-0.083378207,7.2,0.7,1.2,25.7,1.7,8.54,59,396,87,5.2,74,51.78571429,0,5.357142857
